166,1,202
266,2,153,93
331,2,183,225
398,2,402,314
544,2,153,93
569,2,153,93
686,2,183,225
687,2,405,379
926,2,153,93
993,2,405,379
1125,2,405,379
1178,2,153,93
1194,1,202
1197,1,202
1208,2,402,314
1230,2,153,93
1262,2,405,379
1271,2,402,314
1369,2,183,225
1456,1,202
1668,2,402,314
1786,2,405,379
1895,2,153,93
2173,1,202
2232,2,153,93
2340,2,153,93
2368,1,202
2489,2,405,379
2603,1,202
2605,2,153,93
2776,2,402,314
2782,2,405,379
2799,2,153,93
2832,2,405,379
2835,2,183,225
2925,2,153,93
2929,1,202
3111,2,183,225
3263,2,402,314
3314,2,402,314
3380,2,183,225
3687,2,402,314
3794,2,183,225
3808,1,202
4130,1,202
4133,2,153,93
4166,2,153,93
4218,1,202
4354,2,193,236
4440,2,193,236
4500,2,193,236
4555,2,405,379
4584,2,193,236
4601,2,183,225
4645,2,402,314
4654,2,193,236
4684,2,184,225
4704,2,153,93
4737,2,402,314
4740,2,402,314
4777,2,193,236
4876,2,153,93
4899,2,184,225
4907,2,153,93
5090,2,193,236
5114,2,153,93
5123,2,193,236
5127,2,405,379
5200,2,153,93
5226,2,405,379
5237,2,405,379
5307,2,402,314
5312,2,402,314
5349,2,184,225
6162,2,411,307
6264,2,153,93
6281,2,193,236
6387,2,411,307
6526,2,411,307
6577,2,411,307
6613,2,411,307
6619,2,193,236
6665,2,411,307
6686,2,184,225
6745,2,153,93
6780,2,184,225
6790,2,411,307
6817,2,153,93
6851,2,184,225
6927,2,153,93
7016,2,153,93
7118,2,402,314
7152,2,411,307
7196,2,193,236
7217,2,184,225
7247,2,402,314
7264,2,184,225
7298,2,411,307
7351,3,183,110,225
7480,2,193,236
7492,2,411,307
7513,2,193,236
7516,2,411,307
7538,2,153,93
7620,2,193,236
7799,2,193,236
7847,2,411,307
7980,2,415,309
8021,3,183,110,225
8262,2,153,93
8387,2,415,309
8456,2,411,307
8460,2,238,307
8496,2,411,307
8700,2,193,236
8747,2,193,236
8787,2,238,307
8820,2,415,309
8837,2,415,309
8892,2,411,307
9178,2,238,307
9197,2,411,307
9307,2,193,236
9364,3,405,175,379
9407,2,415,309
9441,2,193,236
9509,2,193,236
9513,3,183,110,225
9518,3,405,175,379
9657,2,193,236
9688,2,238,307
9717,3,183,110,225
9722,2,238,307
9786,2,193,236
9895,3,183,110,225
9935,2,238,307
10061,2,193,236
10239,2,238,307
10368,3,183,110,225
10763,3,405,175,379
10786,2,415,309
10810,3,402,175,314
10853,3,402,175,314
10901,3,402,175,314
10906,2,238,307
11150,2,193,263
11184,3,405,175,379
11210,2,238,307
11212,3,405,175,379
